"argument_id","frame_id","frame","topic_id","topic","premise","stance","conclusion","conclusion_hash","premise_hash"
"8868","0","economics","951","Manned mission to Mars","Present systems for getting from Earth's surface to low-Earth orbit are so fantastically expensive that merely launching the 1,000 tons or so of spacecraft and equipment a Mars mission would require could be accomplished only by cutting health-care benefits, education spending or other important programs--or by raising taxes.","Con","Mars mission would require raising taxes, cutting social services","724b0ce8f95b930736f9ad94ae0af552","56023c3bc96c1377d169b04e0bd0cdd1"
"5106","0","economics","551","European Union Expansion","By insisting on Western environmental standards, the EU will likely contribute to the prolongation of economic malaise in CEE.","Con","EU environmental regulations will cost new member states","c9378712c8b79d22def351bb9b313d6c","f76390f06f2c7c017393eca0be02b9c7"
"12942","0","economics","1681","U.S. Withdrawal From the United Nations","If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.","Con","A U.S. withdrawal will cause trade to falter.","1c773b467b013ae88156da9c94fe2197","15c8ab67f183aad111d1e781cca4084c"
"10432","0","economics","1134","Plug-in hybrids","Potential will grow over time as public familiarity with the technology increases. The majority of those surveyed preferred being able to charge their car at home over having to fuel it at a gasoline station. A  by the Electric Power Research Institute ( (EPRI)) found that consumers like plug-ins because they would offer the best of both worlds: the gas savings and emissions reduction benefits of battery powered electric vehicles, and the range of a ""normal"" car.","Pro","Surveys indicate strong market potential for plug-in hybrids.","6672903d19dc5a07b918666f08108d0a","941c7f853692e2f4167d3fbc39335454"
"2643","0","economics","268","Cellulosic ethanol","By reducing foreign oil imports, cellulosic ethanol brings reduces the flow of money going abroad and concentrates back around local fuel-producers.","Pro","Cellulosic ethanol can reduce our trade deficit.","60f0992895d17e3b12795b5c5018082b","15186dbb11134030db08252cec5fc7d3"
"12384","0","economics","1632","The UN should prioritize poverty over climate change","The markets should be allowed to work to address poverty. Any government action, by the UN or national governments, is more likely to harm economic development than to help it.","Con","Markets should address poverty, not the UN.","f3aae246e4b0edde2a2ab39fc45b88ee","da214c7beab16796e2e4acdb2cea2737"
"3026","0","economics","321","College football playoffs","BCS bowl games are the single worst business arrangement in American sports. College football’s continued willingness to be fleeced by outside businessmen, who gleefully cut themselves in on millions in profits, makes even conference commissioners blush when confronted with the raw facts. [...] What other business outsources its most profitable and easily sold product – in this case postseason football? [...] The bowls were needed back in the 1950s. These days they are nothing but leeches on the system. [...] It’ll never make sense to allow businesses outside college football to determine how college football does its business.","Pro","Schools lose too much money to BCS businessmen","339cb859e9a39290577b890523ba0c98","56bcc614317fc6e5aa8eeb7ceea22144"
"11535","0","economics","1306","Scottish independence","Scotland does receives subsidies and development aid from the UK government annually to boost its economic growth. Scotland receives more from the UK government than it gives to it. The income derived from oil reserves alone would be insufficient to maintain Scotland’s present rate of growth, much less propel it to greater heights.","Con","Argument that and independent Scotland would lose the benefits of UK subsidies:","7548ca7f3431b6c153e4b9bf7ab50629","b92da88a99e5df02fa21724e86ae3cc1"
"12003","0","economics","1541","Solar energy","Coal-electricity and hydroelectricity can both operate 24/7. Solar power, however, can only operate during the day-time. This means that solar power's energy yield is smaller relative to the capital investment.","Con","Solar panels cannot produce energy at night like other alternatives.","d9d13046c24e1236806dc32b2818614c","1f2b9a8fa807f30dc6008087296ca5f1"
"7244","0","economics","744","Rebuilding New Orleans","This nation is going to rebuild a major city -- New Orleans -- and that won't come cheap. Some say the federal government's contribution alone could end up being $200 billion, and some also say there's just one way to come up with the money: Raise taxes. [...] That's wrong, even though worries about the federal deficit are right. [...] You can start, in fact, with corporate welfare, a favorite target of the liberals as well as of many principled conservatives. [...] You can then move to pork, which used to be a specialty of Democrats until Republicans took over both houses in Congress.","Pro","Rebuilding New Orleans can be funded by cutting pork","d29ad0850e6a82be42e403ed1293580a","cd71eb63c297e360b73e277fc5dee4e9"
"4630","0","economics","503","Education vouchers","Private sector schools require extra funds as the profit motive has to be met. They are, therefore, not necessarily cheaper for the taxpayer. Vouchers that go toward private schools may, therefore, simply go toward lining the pockets of the investors of private schools. This is neither a fair nor an efficient use of taxpayer money.","Con","Profit motive of private schools is costly, undermining vouchers.","88f6cbc8f536ad7962cc1738786a18e1","b9631c00a0ec46520f923123c7ec5c07"
"4471","0","economics","480","DREAM Act","The Congressional Budget Office estimates the DREAM Act would reduce the deficit by $1.4 billion over the next 10 years due to increased tax revenue.","Pro","DREAM Act will increase govt revenue and budgets.","f12ccc0f62033cfa59456cd82d6e2208","c33f608bd72a11924188deda4477bce2"
"5062","0","economics","545","European missile defense","Rep. Tierney pointed out that we have spent over $120 billion on missile defense in the past 25 years; that the annual budget is expected to double by 2013 to $19 billion; and that the current $10 billion per year is equal to one-third of the Homeland Security budget, roughly equal to the State Department budget, greater than the FEMA budget, 20 times greater than public diplomacy expenditures, and 30 times greater than Peace Corps.","Con","US missile defense spending is out of proportion to relative benefits","eb61ac2aea8dd8bb56fbab699ad4035c","8f7106db78aca6515f32cfdab5696383"
"8873","0","economics","957","Market vs. regulatory approaches to cutting carbon emissions","Many studies have found that emissions markets cost an economy less than regulatory approaches.","Pro","Emissions markets are more economical than regulations","badf3a057b365d43a1c1fe54bfe56036","c1a3cbb18532cfc98604ab9c1a79468f"
"10030","0","economics","1054","Nuclear energy","On the economic side, while costs are competitive in existing nuclear plants, government regulations, political delays, and public relations problems increase those costs substantially, making new plants less economically feasible.","Pro","Nuclear energy costs are unfairly increased by regulations and politics","0413f52e579688ee4d43a0fdc5a365de","f5a2482ea7a9f326cfb0b2032a5d5173"
"10374","0","economics","1124","Phasing out fossil fuel subsidies","Across the developing world, governments are subsidizing energy, blunting the incentive to conserve by keeping prices low. [...] experts say that government subsidies are exacerbating their unquenchable thirst for oil. Keith Bradsher reported in The Times that China is expected to spend about $40 billion this year in subsidies. Venezuela and Egypt are forecast to spend more than 5 percent of their total economic output on subsidies this year. Indonesia is predicted to spend almost as much, the International Monetary Fund estimates. In all, the I.M.F. says that 48 countries are shielding consumers from high energy prices with subsidies.","Pro","Subsidies can reduce price incentive to conserve oil.","5e78be18dde9be49b02380e282bf10ad","e38c138e65ff56c47b348fee591e1e1e"
"14064","0","economics","1816","Year-round school","In Minnesota there are 27 year-round educational programs. They are succeeding wherever they’ve been started[...]Throughout the country, 2 million youngsters are attending year-round schools, mainly in California, Texas, Florida and Kentucky.","Pro","Year-round schools are growing in number and succeeding.","1c82f3484b38e6bd675cf4f21e08055c","58dde45dba2b59cfca421a8ac49abb23"
"2479","0","economics","258","Carbon emissions trading","There appears to be a misconception among many 'lay economists' that carbon trading is a 'market mechanism' while carbon taxes are not. However, government control of the quantity of an item being sold is no more of a market based mechanism than government control of the price. Where it counts, carbon taxes make far better use of market forces than carbon trading schemes.","Con","Emissions trading has govt not markets set cap","d1a6d087e35ba0987b09550ee0d2730f","69ead4e3c1059fc6b03b4ae46d4af8b4"
"8867","0","economics","951","Manned mission to Mars","One objection to a manned mission to Mars is that robotic craft could do the job just as well at a fraction of the cost--a compelling argument as we watch the Spirit rover successfully bound (or rather inch) over the surface of the Red Planet. On January 10, The Washington Post's editors wrote, 'The success of NASA's latest Mars venture has proved the worth of unmanned missions, while manned space flight is exorbitantly expensive.' The Los Angeles Times approvingly quoted physicist and space guru James Van Allen as saying that we could explore Mars with robots 'at far less cost and far greater quantity and quality of results.' Or, as Will Marshall, president of the Progressive Policy Institute, bluntly summed it up, 'There's no real rationale for a manned space program.'","Con","A manned mission to Mars would be too expensive","7471e6805010ad84c4c74273177f537e","ea1e15ffaa9d05cd8a9ab5d2e50f8ea9"
"10396","0","economics","1130","Pickens US energy plan","John DeCicco, a senior fellow with Environmental Defense - ""You can’t pick today what’s going to work in the marketplace tomorrow, the best you can do for policy is to set a general goal in terms of carbon reductions – put a price on carbon - and then let the market sort out what it [the technological solution] is going to be, not Pickens, not President Bush, not Senator so- and so. So, we ultimately believe in the invisible hand, ironically, even though we are environmentalists, rather than throwing a lot of money at some investor or somebody’s favorite solution – that’s the larger message here.""","Con","Pickens Plan favors technology over better market guidance","97dba9915c364aa31ca0908857b6f346","86c0441400cec081af845325384028c5"
"2429","0","economics","252","Capitalism vs socialism","The reason for this is that capitalism gives individual investors the highest of personal incentives to choose wisely where they put their money: putting it where (to that individual's best knowledge) it can make the most money, which is where there is the greatest demand for a service and the greatest ability of a company to provide that service efficiently.","Pro","Capitalism allocates capital/resources most efficiently.","178d29c2a42ab12f83333920f3754362","6721c5095b5dddc0d3992c2313a74971"
"12365","0","economics","1630","The UN should increase humanitarian aid to poor nations","Western wealth is supposed to speed African development and fight grinding poverty, but the result doesn't match the intent. In Zimbabwe, Robert Mugabe has single-handedly destroyed the economy with western aid flowing. After a quarter-century of Mugabe, 80 percent of Zimbabweans live below the poverty line, inflation has soared to triple digits, and 'land reform'—subsidized with British 'development support'—takes lives and destroys agriculture. Mugabe takes the cash and blames the West, trashing the human rights of both large landowners and defenseless slumdwellers in Harare.","Con","Aid to dictators does not make its way to poor.","8bc5ecbbd85fcb1b654ca82c71cdec47","942b1f474e0f244db0c702c625e41502"
"1565","0","economics","124","Ban on advertising","Advertising is necessary for consumers, as it not only promotes new products, but it also provides essential information. Imperfect information can result in market failure, therefore anything that limits it should be encouraged.","Pro","Advertising curbs imperfect information.","d7a8ccfa9f0934fad421d2d1d7d348d0","97f36771a4f601fd3ce13b46659d91a6"
"8770","0","economics","940","Mandatory labeling of genetically modified foods","Without innovation, there would be no polio vaccine, no revolution in electronic information available over the internet, and, yes, no disease-resistant, higher-yielding crops to feed the world's hungry through genetic modification achieved by such traditional means as hybridization. Today, critical advances in biotechnology hold the promise of alleviating hunger and malnutrition, so there can be no compromise when some oppose innovation simply because it is new.","Con","Mandatory labeling disincentivizes innovation in food technology","b0446bc0d00e9a2a88c44e74479031b8","be12f89cf26051646e977fb37d7a8ec0"
"8553","0","economics","895","Libertarianism","David Shea - ""I'm skeptical of claims based solely on logical deduction, especially in the social sciences. This is especially true in economics where many have pointed out the incredible premises that are required to show that laissez-faire achieves even a minimal sort of optimum.""","Con","Free-market capitalism is a sub-optimal socio-economic model","cacd991fcafbf7a1ffc55a076cd15097","daac37183d09432142a212da1dea153a"
"2705","0","economics","278","Charter schools","some states have opened so many charter programs so quickly that they can barely count them, let alone monitor student performance.","Con","Charter schools proliferated too quickly to monitor performance","b37f295f98ead1f360b00d9c91cd6db4","1ae110f2b2abfe7937d024b10ba6af94"
"13354","0","economics","1755","Veal","If we were to ban veal farming, many people would lose their jobs and the whole veal industry would be destroyed. Many people do make a living out of killing veal and selling the meat. It would be bad for the industry, our economy and - nearly everyone. Chefs, farmers, butchers; even truck drivers would be affected if veal farming was banned. It would mean a loss of many, many jobs, people's careers and people's money; lots of people would lose wages and lose many. Just think of how big a blow this would be on society.","Pro","Veal farming is an economically important industry that cannot be scrapped","e27fa5773a395e50dc6ce85992879674","68ab490f43a2e510a6ad3afe51546d6f"
"9790","0","economics","1034","Natural gas vehicles","Natural gas vehicles are in the early stages of development. The technology behind CNG and LNG vehicles is very uncertain. In addition, the infrastructure for natural gas vehicles is not yet established. Natural gas vehicles, therefore, are not yet commercially viable on a large scale.","Con","Natural gas vehicles are not yet commercially viable.","972cab0b36d24d780b11573e297ade61","948e4616c612d2755c0cac9bfc1fe070"
"10832","0","economics","1182","Prohibition of downloading music and films","Most musicians also live from touring and the sale of merchandise, and wider distribution of their songs is likely to increase their income from concerts, t-shirts, etc., as more people will want to experience them live.","Con","The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway","c5d7d49e611c36836d2b40bf3475fe83","b9079a37253e4d6a9255be54bf7ad42f"
"6881","0","economics","705","High-speed rail","The problem, of course, is that high-speed rail in the U.S. is promoted as an end in itself, with unrealistically high expectations, and based on the erroneous idea that somehow this narrowly targeted niche transportation ""choice"" is a public good. It is not. It's a private good masquarading as a public good.","Con","High-speed transportation is really a private good.","879fb4c526897c84da0e26851afdd641","14200716c5236bd657fafc1f0c326fad"
"160","0","economics","13","700 mile US Mexico border fence","According to some sources, maintenance is not being fully accounted for in the bill's cost projections. There are a number of maintenance issues that will add substantial costs to the fence. Damage from Arizona flash floods, for example, will damage the fence and add significantly to maintenance costs.","Con","The maintenance of the US border fence would be costly","364c3f0b82d0cf7c9fb920aebba161a9","74ac790d3fb748fcfabf4c62ae704b2c"
"894","0","economics","81","Arizona illegal immigration law","According to Judge Andrew Napolitano: ""She's also gonna bankrupt her state, because no insurance company will provide coverage for this. And for all the lawsuits that will happen -- for all the people that are wrongfully stopped -- her budget will be paying for it. Her budget will be paying the legal bills of the lawyers who sue on behalf of those that were stopped.""","Con","Arizona immigration law will damage local economy","99adccefa48360492e6f55063869c17a","67e2310a60ae3989308d1a33f712c82f"
"13312","0","economics","1736","US offshore oil drilling","A Center for American Progress study has found that money that goes into the oil sector instead of the clean energy economy means a net loss of 14 jobs per million dollars.","Con","Offshore oil distracts from longer-term renewables industry.","1dddf7852693722dd6a842f5d92787ed","56df086a4fd0942893ca149e2358a0ab"
"4157","0","economics","421","Developed countries have a higher obligation to combat climate change","Developing nations need room to develop industry and grow, just like developed nations were allowed to do in their industrial development. Heavy emissions regulations constrain such growth and are unfair as such.","Pro","Developing nations need room to develop without emission restrictions.","30297bf840d30e49e1360c3f099c38f9","84680202e54350614182dd4d596c1cba"
"666","0","economics","43","Algae biofuel","Biofuels that are created from land-plants all have specific soil-quality requirements. If soil in an area does not meet the specific nutrient requirements of a biofuel plant-type, that plant cannot be built and used to produce the biofuel in the land-area. Algae, because it grows in water (of almost any kind and quality), is not limited by soil-quality.","Pro","There are no soil requirements for algae biofuel.","db9c70e9f2f16ee8e224813e9d1afb03","a0e3ac840df121693cc11d60820db32a"
"6613","0","economics","684","Guest workers in the United States","Before a hearing on immigration reform in 2004, Hagel argued for his bill S. 2010 and its guest worker provision on the grounds of ""Economic stability: to provide foreign workers for jobs that would otherwise go unfilled, our bill admits a limited number of workers through a willing worker program.""","Pro","Chuck Hagel (R-Nebraska):","3380f35a3fd42f4f1fe793ce59f423a0","de657439962045b8fb578c97a31642b3"
"9789","0","economics","1034","Natural gas vehicles","CNG-powered vehicles have generally cost more to purchase new than comparable gasoline models. Suggested retail for the Civic GX is $24,590 plus $635 for freight. A comparably equipped, gasoline-powered Civic LX lists for $17,760. Honda concedes GX resale values can also be $1,000 to $3,000 less than their gasoline counterparts. Add to that the cost of a Phill refueling unit at $3,400 plus the installation cost, upwards of $500, and the premium could easily top $10,000.","Con","Compressed natural gas vehicles cost more","03e38264e4a85f909ce4ccbad1c06046","737f3dbb403d814244d5213ba6521a45"
"2035","0","economics","192","Biodiversity and Endangered Species","Many of these policies are beyond the financial means of developing nations, and implementing them would stunt their economic growth and disenfranchise the population. It is hypocritical for the West to criticise the lack of environmental protection in the developing, considering that the West got to its current position through an industrial revolution that paid no heed to biodiversity and other such concerns.","Con","Environmental protection and the protection of biodiversity are very much a luxury of developed nations.","e25addce47ac7e618c657b42d26e95b4","80c57bce5c2e2a2cc3f4e39c0b7fe7bb"
"2062","0","economics","193","Biofuel","By stimulating jobs in rural areas, biofuels promote development in these areas. This will help resist some of the trends showing increased settlement in large cities. Such urbanization has many costs socially, and should be resisted.","Pro","Biofuels will promote rural development.","78ef7e73c7ac94293d521d5f24d0f693","17e9eb6ce40f311d9e69fbff970789a6"
"12436","0","economics","1637","Three Gorges Dam","While there certainly are economic benefits from the Three Gorges Dam, the economic shock that the dam has caused to over a million displaced individuals and potentially millions more must also be taken into account. Does the slight economic gain for the average Chinese person outweigh the severity of the shock to the couple of millions that were displaced and whose livelihoods were destroyed?","Con","The TGD does not economically benefit the displaced","d61ed59e9844a304fc06ccb49607d4b8","be630f255a5a2298276fafbd9dd127d3"
"11053","6","public opinion","1210","Public health insurance option","Appeal to the majority is nothing more than tyranny of the majority and means absolutely nothing to whether a public insurance option is worth it or will even help. Just in case you don't believe this, ask yourself this... if 51% of the public thought slavery was good, would you use that as an argument for a change in equal rights' laws?","Con","Following majority support for public option is tyranny of majority.","fb6f4b880439158ac2676a13a8bcc979","79f4a4a389d8912ef6e7aa09c2a3fe6b"
"5000","6","public opinion","539","Estate tax in the United States","It is a wealth of information that should be entered into this section in some way, although its core point relates to the ambiguity and volatility of the public positions on repealing the estate tax (which should be noted in this section too)","Pro","See a The Political Uses of Public Opinion - Lessons from the Estate Tax Repeal by Mayling Birney and Ian Shapiro Department of Political Science at Yale University March, 2005","40b4e225b118f4339fcd88bfaaa9b404","a012bee72b77f5389180fd869e5d619b"
"3856","6","public opinion","389","Death penalty","Justice is not supposed to be up to public opinion. On a matter that is so centrally about justice, public opinion should play a minimal role.","Con","Public opinion should not determine justice.","ad6fa883f74a0b866d0f117104714108","466e44a4418c0a9e495a6d33032a1abe"
"12278","6","public opinion","1599","Term limits for legislators","Term limits are presumptuous. Turnover was not a problem in the Oklahoma Legislature, especially in the urban areas. In 1990 only 10 percent of House members and 20 percent of senators had served more than 12 years. The problem for the Republican proponents of term limits was that the senior-most members — those who kept getting re-elected over and over — tended to represent rural or small-town districts and they were mostly Democrats. The term-limits advocates were essentially telling rural voters, 'We don't like the people you keep electing to office so we are going to restrict your ability to elect them.' Term limits, for better or worse, have outlived their usefulness to their original advocates. The movement in Oklahoma was driven almost 100 percent by Republicans who wanted to root out entrenched Democrats who they hoped would be replaced by Republicans. That is exactly what happened, and there is no doubt that term limits helped speed the Republican takeover of the Legislature. It will be interesting to see if Republican zeal for term limits remains as strong as it was back before they were in control.","Con","Term limits pushed by those that don't like who voters elect","4da0e6d68fb0c9b626bb084396d67c5d","687922480cb98626dc325cf0e4d76122"
"11052","6","public opinion","1210","Public health insurance option","Perhaps that is why Americans have long been strongly supportive of public-private hybrids in health care, believing that neither the government nor private insurance should be the sole source of coverage in a reformed system. In polls, a Medicare-like program covering all Americans beats the current system hands down. Yet Americans are even more receptive toward a mandate on employers to provide coverage.78 Historically, Americans have been deeply divided about their preferred approach to expanding health insurance. Although repeated surveys find a majority endorsing “national health insurance” for most of the second half of the twentieth century, when asked explicitly, Americans split evenly between those who favor administration of insurance benefits by government and those who prefer subsidies for private insurers.79 Thus, Americans seem to desire a combination of both private employment-based coverage and expanded public programs.","Pro","Divisions on public vs. private healthcare suggests a hybrid","291e762eedc02d8e4a6393fb376833b2","cab61ca02c9bfa3215eec7fdd0295aa8"
"2596","6","public opinion","266","Catholic Church contraception policy","Removal would also prevent schisms in the Church around the flashpoint of how to deal with the AIDS epidemic.","Con","Undoing ban on condoms would prevent schisms in Church.","1dc6891f10cb25f21fa9b148064fe148","e5bd728226776c446deefcfc9ee57faf"
"901","6","public opinion","81","Arizona illegal immigration law","An April 2010 poll by Rasmussen, showed 55 percent of Americans supported the tough Arizona law, while 36 percent opposed it.","Pro","Most Americans support Arizona's immigration law","db7be1154705d63f7d6051e761958a2f","a3660d4c20c46c8f540203a900a473e6"
"6482","6","public opinion","680","Greece bailout","It is not difficult to see why Germans and other Eurozone publics are opposed to bailing out the profligate Greek government. Having introduced a constitutional requirement to balance its budget, the German government is now asking the public to forego tax cuts in favor of its less responsible Mediterranean neighbor. A poll by British think tank Open Europe in June 2009 found that 70 percent of German voters were opposed to bailing out other Eurozone countries in financial trouble.","Con","Eurozone publics do not support the Greece bailout","ad4f79f0dc34a9b54b533717014f8062","3cf95d43cbc79b6e24ee22efa03a8bf7"
"11734","6","public opinion","1487","Should the minimum age of candidacy for political office be 18?","During this century, many countries have reduced their legal voting age from varying ages to 18 years. Austria reduced it from 19 to 18 years, United Kingdom from 21 to 18 years, and the call for reductions is growing in many other countries. This demonstrates a growing international desire and demand among youth to participate in the democratic process as candidates. This desire itself could be viewed as a sufficient warrant for young people to participate; it demonstrates a willingness to engage and fulfill the burdens of office.","Pro","A global trend exists in the reduction of voting ages:","289e7849264c433ed7a231ebb6d98e42","dd6e37e8e44d333fc53bad2b7c08fa8e"
"4999","6","public opinion","539","Estate tax in the United States","A Republican that has fought for a estate tax ban for over a decade, polled in 2005 that more than 80 percent of American respondents called the taxation of inheritances ""extreme."" Roughly 64 percent said they favored ""death tax"" repeal. Support fell to a still-strong 56 percent when asked whether they favored repeal.","Pro","Frank Luntz poll 2005","b567ca5cfd7bb51590c9480396ae032a","3e7caf33e4ee266ce4ef5e43f5ffc9fa"
"94","6","public opinion","8","2009 US economic stimulus","the American people are on board [with the stimulus plan] – sort of. 'They're all over the map,' said Andrew Smith, director of the University of New Hampshire Survey Center. 'The way I would characterize what the public view is they know something has to be done, they're not quite sure what should be done,' Smith said. [...] A national Diageo/Hotline Poll shows 54 percent of registered voters favor the more than $800 billion stimulus package backed by President Barack Obama even if it means increasing the federal deficit. [...] Yet when the same poll asked voters if they thought the package of spending and tax cuts would be spent and managed wisely, 14 percent said they were 'very confident' it would. Twelve percent said they were 'very confident' the stimulus package would be effective in turning around the economy. [...] For voters to hold such disparate views is not uncommon, said Elizabeth Theiss-Morse, a political scientist who studies public opinion and voter behavior at the University of Nebraska. [...] 'It's like people often have the desire for lower taxes and more government services,' she said.","Con","American public is ambivalent about 2009 US stimulus plan","4f5211517671eac85f90433ded8542dc","894e3a053c48fffa6280e90777eae841"
"515","6","public opinion","29","Advances in science present a threat","In an official British survey of public attitudes to science in 2008, only 46% of those asked ""thought that “the benefits of science are greater than any harmful effect”.""","Con","People are not that much supportive.","4183c9764cdd21856bbfc09951c41df5","e56c2748670025e8b5a970368527b3e8"
"7624","6","public opinion","782","Israeli blockade of Gaza","Israel’s geographic vulnerability means that we do not have the luxury of caving in to the world’s condemnation. We will have to gird ourselves for the long, dangerous and lonely road ahead, buoyed by hope that what ultimately prevails will be not what is momentarily popular, but rather what is just.","Pro","Israel is vulnerable; can't cave to global opinion on blockade","4ae16eec15cbdafba1a49c6d4922871b","a14a84418ebc349caf14c54397af9a54"
"12277","6","public opinion","1599","Term limits for legislators","Whenever statewide term limits is on a ballot, it wins overwhelmingly. This phenomenon may be due to the voter's native common sense. This may be the most powerful argument in its favor. In other words, it appears that voters instinctively know that term limits is better for voters than unlimited terms. In the 23 states that have the Initiative Process (where voters can petition to place issues on the ballot), 21 states have voted for and won statewide term limits. Whenever politicians have tried to end term limits, they have been resoundingly defeated.","Pro","Voters have consistently supported term limits.","61497b0f5ec195b76110cb3bc5e73767","ee5e2b1abc584c4ac8156ca20b3c5e8b"
"9179","6","public opinion","977","Merry Christmas vs Happy Holidays","A 2007 Rasmussen Reports poll asked adults which phrase they prefer to see in stores’ seasonal advertising. “Merry Christmas” won handily, with 67 percent of the vote, vs. 26 percent for “Happy holidays.”","Pro","Strong majority of Americans support ""merry Christmas"".","b9919cf7c0f082aca1046e8ed2764325","eabbf5e48e583e07a53e202f21bb0b0f"
